# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=890819740
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./testtraces_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-4082.41,0.173284,0.033092,1,1,0,4083.69,0.904333,0.898382
-4082.57,0.994347,0.00967641,4,31,0,4083.11,0.894811,0.90244
-4082.38,0.991225,0.0147612,3,11,0,4082.84,0.896503,0.901404
-4083.23,0.988326,0.0222834,3,11,0,4083.92,0.913626,0.896429
-4083.03,0.967207,0.0333091,2,3,0,4083.3,0.911197,0.895809
-4083.47,0.170091,0.0475732,2,7,1,4083.79,0.914264,0.894708
-4082.73,0.994903,0.0142033,4,23,0,4084.24,0.892583,0.900374
-4082.62,0.99582,0.0214202,3,15,0,4082.86,0.897265,0.902113
-4082.88,0.988326,0.0322338,3,11,0,4083.95,0.905061,0.896456
-4082.43,0.214606,0.0476235,2,5,0,4083.42,0.900551,0.898527
-4082.42,0.99998,0.0158308,3,15,0,4082.57,0.898069,0.901302
-4082.31,0.994943,0.0239037,1,3,0,4082.44,0.897427,0.900241
-4083.54,0.650946,0.0356121,2,5,0,4084,0.886266,0.901537
-4082.53,1,0.027522,3,7,0,4083.52,0.891913,0.902039
-4082.68,0.778406,0.0412155,2,5,0,4083.1,0.901968,0.900923
-4083,0.765256,0.0405382,2,7,0,4083.13,0.898547,0.897718
-4082.37,1,0.038904,1,1,0,4082.51,0.899431,0.90073
-4082.37,0.000855559,0.0578519,1,1,0,4082.62,0.899431,0.90073
-4082.55,0.999774,0.0134133,4,27,0,4082.96,0.89281,0.900938
